filename,label,session,onset_time,dt_prev_ms,prev_label
20260815_190055__0047__c,c,20260815_190055,15.2768,453.63,s
20260815_190055__0048__o,o,20260815_190055,15.5435,266.69,c
20260815_190055__0049__m,m,20260815_190055,15.7627,219.16,o
20260815_190055__0050__n,n,20260815_190055,15.9873,224.63,m
20260815_190055__0051__s,s,20260815_190055,16.2895,302.22,n
20260815_190055__0052__o,o,20260815_190055,16.6485,359.02,s
20260815_190055__0053__l,l,20260815_190055,17.2973,648.73,o
20260815_190055__0054__u,u,20260815_190055,17.5795,282.27,l
20260815_190055__0055__t,t,20260815_190055,17.7999,220.39,u
20260815_190055__0056__a,a,20260815_190055,18.9509,1150.95,t
20260815_190055__0057__t,t,20260815_190055,19.2403,289.46,a
20260815_190055__0058__i,i,20260815_190055,19.5135,273.2,t
20260815_190055__0059__o,o,20260815_190055,19.7739,260.43,i
20260815_190055__0060__b,b,20260815_190055,20.0717,297.71,o
20260815_190055__0061__b,b,20260815_190055,21.3057,1234.06,b
20260815_190055__0062__a,a,20260815_190055,22.0315,725.74,b
20260815_190055__0063__u,u,20260815_190055,22.3431,311.61,a
20260815_190055__0064__s,s,20260815_190055,22.6009,257.8,u
20260815_190055__0065__e,e,20260815_190055,22.8433,242.43,s
20260815_190055__0066__i,i,20260815_190055,23.6252,781.9,e
20260815_190055__0067__w,w,20260815_190055,24.4913,866.15,i
20260815_190055__0068__a,a,20260815_190055,24.6846,193.27,w
20260815_190055__0069__n,n,20260815_190055,24.9989,314.26,a
20260815_190055__0070__t,t,20260815_190055,25.2061,207.21,n
20260815_190055__0071__junk,junk,20260815_190055,25.3816,,
20260815_190055__0072__t,t,20260815_190055,25.5254,319.34,t
20260815_190055__0073__e,e,20260815_190055,25.9638,438.37,t
20260815_190055__0074__junk,junk,20260815_190055,26.4074,,
20260815_190055__0075__junk,junk,20260815_190055,26.5656,,
20260815_190055__0076__p,p,20260815_190055,27.7967,1832.95,e
20260815_190055__0077__o,o,20260815_190055,28.0001,203.36,p
20260815_190055__0078__t,t,20260815_190055,28.3208,320.7,o
20260815_190055__0079__a,a,20260815_190055,28.5054,184.65,t
20260815_190055__0080__l,l,20260815_190055,28.9244,418.98,a
20260815_190055__0081__e,e,20260815_190055,29.0687,144.29,l
20260815_190055__0082__c,c,20260815_190055,29.3321,263.38,e
20260815_190055__0083__h,h,20260815_190055,29.8215,489.43,c
20260815_190055__0084__a,a,20260815_190055,30.0765,255.01,h
20260815_190055__0085__r,r,20260815_190055,30.3544,277.85,a
20260815_190055__0086__g,g,20260815_190055,30.5785,224.13,r
20260815_190055__0087__e,e,20260815_190055,30.8476,269.07,g
20260815_190055__0088__r,r,20260815_190055,31.2481,400.54,e
20260815_190055__0089__junk,junk,20260815_190055,31.3849,,
20260815_190055__0090__a,a,20260815_190055,31.679,430.86,r
20260815_190055__0091__junk,junk,20260815_190055,32.1629,,
20260815_190055__0092__n,n,20260815_190055,32.3413,662.34,a
20260815_190055__0093__d,d,20260815_190055,32.6506,309.3,n
20260815_190055__0094__o,o,20260815_190055,33.292,641.36,d
20260815_190055__0095__p,p,20260815_190055,33.5826,290.59,o
20260815_190055__0096__junk,junk,20260815_190055,33.9478,,
20260815_190055__0097__junk,junk,20260815_190055,34.5117,,
20260815_190055__0098__g,g,20260815_190055,34.8225,1239.98,p
20260815_190055__0099__g,g,20260815_190055,35.1183,295.74,g
20260815_190055__0100__l,l,20260815_190055,36.3102,1191.88,g
20260815_190055__0101__o,o,20260815_190055,37.2535,943.36,l
20260815_190055__0102__l,l,20260815_190055,37.6237,370.18,o
20260815_190055__0103__l,l,20260815_190055,37.9037,279.95,l
20260815_190055__0104__a,a,20260815_190055,38.2427,339,l
20260815_190055__0105__p,p,20260815_190055,38.5368,294.1,a
20260815_190055__0106__a,a,20260815_190055,38.7638,227.07,p
20260815_190055__0107__l,l,20260815_190055,39.0134,249.57,a
20260815_190055__0108__o,o,20260815_190055,39.3188,305.4,l
20260815_190055__0109__o,o,20260815_190055,39.5646,245.78,o
20260815_190055__0110__z,z,20260815_190055,39.8002,235.6,o
20260815_190055__0111__a,a,20260815_190055,40.3926,592.45,z
20260815_190055__0112__junk,junk,20260815_190055,41.0309,,
20260815_190055__0113__n,n,20260815_190055,41.4403,1047.71,a
20260815_190055__0114__d,d,20260815_190055,41.6592,218.87,n
20260815_190055__0115__1,1,20260815_190055,42.377,717.76,d
20260815_190055__0116__junk,junk,20260815_190055,42.5042,,
20260815_190055__0117__2,2,20260815_190055,42.634,257.01,1
20260815_190055__0118__3,3,20260815_190055,42.8968,262.86,2
20260815_190055__0119__4,4,20260815_190055,43.1462,249.34,3
20260815_190055__0120__5,5,20260815_190055,43.3682,222,4
20260815_190055__0121__6,6,20260815_190055,43.6193,251.13,5
20260815_190055__0122__d,d,20260815_190055,44.1244,505.08,6
20260815_190055__0123__i,i,20260815_190055,44.3951,270.73,d
20260815_190055__0124__r,r,20260815_190055,44.6224,227.32,i
20260815_190055__0125__o,o,20260815_190055,44.8995,277.05,r
20260815_190055__0126__junk,junk,20260815_190055,45.2254,,
20260815_190055__0127__f,f,20260815_190055,45.3659,466.39,o
20260815_190055__0128__l,l,20260815_190055,45.6251,259.23,f
20260815_190055__0129__e,e,20260815_190055,45.8433,218.23,l
20260815_190055__0130__o,o,20260815_190055,46.0785,235.17,e
20260815_190055__0131__r,r,20260815_190055,46.2484,169.91,o
20260815_190055__0132__p,p,20260815_190055,46.5921,343.67,r
20260815_190055__0133__d,d,20260815_190055,46.81,217.96,p
20260815_190055__0134__junk,junk,20260815_190055,46.9476,,
20260815_190055__0135__junk,junk,20260815_190055,47.1496,,
20260815_190055__0136__l,l,20260815_190055,47.3429,532.81,d
20260815_190055__0137__f,f,20260815_190055,47.6424,299.5,l
20260815_190055__0138__o,o,20260815_190055,47.9151,272.79,f
20260815_190055__0139__k,k,20260815_190055,48.2202,305.08,o
20260815_190055__0140__r,r,20260815_190055,48.9675,747.23,k
20260815_190055__0141__o,o,20260815_190055,49.2118,244.31,r
20260815_190055__0142__o,o,20260815_190055,49.4029,191.09,o
20260815_190055__0143__k,k,20260815_190055,50.2288,825.96,o
20260815_190055__0144__n,n,20260815_190055,50.396,167.17,k
20260815_190055__0145__i,i,20260815_190055,50.587,191.02,n
20260815_190055__0146__g,g,20260815_190055,50.7673,180.29,i
20260815_190055__0147__h,h,20260815_190055,51.0181,250.82,g
20260815_190055__0148__h,h,20260815_190055,51.7858,767.64,h
20260815_190055__0149__e,e,20260815_190055,51.954,168.25,h
20260815_190055__0150__s,s,20260815_190055,52.437,482.99,e
20260815_190055__0151__p,p,20260815_190055,52.752,314.99,s
20260815_190055__0152__i,i,20260815_190055,53.0012,249.16,p
20260815_190055__0153__e,e,20260815_190055,53.3554,354.24,i
20260815_190055__0154__c,c,20260815_190055,53.609,253.63,e
20260815_190055__0155__e,e,20260815_190055,54.1659,556.83,c
20260815_190055__0156__a,a,20260815_190055,54.4772,311.36,e
20260815_190055__0157__n,n,20260815_190055,54.7464,269.18,a
20260815_190055__0158__d,d,20260815_190055,54.9584,211.97,n
20260815_190055__0159__y,y,20260815_190055,55.1438,185.4,d
20260815_190055__0160__a,a,20260815_190055,55.4472,303.42,y
20260815_190055__0161__n,n,20260815_190055,55.6143,167.07,a
20260815_190055__0162__g,g,20260815_190055,55.8433,229.05,n
20260815_190055__0163__e,e,20260815_190055,56.2149,371.54,g
20260815_190055__0164__l,l,20260815_190055,56.473,258.14,e
20260815_190055__0165__a,a,20260815_190055,56.8497,376.73,l
20260815_190055__0166__junk,junk,20260815_190055,57.0123,,
20260815_190055__0167__s,s,20260815_190055,57.3019,452.15,a
20260815_190055__0168__h,h,20260815_190055,57.4492,147.28,s
20260815_190055__0169__u,u,20260815_190055,57.6283,179.09,h
20260815_190055__0170__b,b,20260815_190055,57.8421,213.85,u
20260815_190055__0171__h,h,20260815_190055,58.0709,228.82,b
20260815_190055__0172__d,d,20260815_190055,58.422,351.11,h
20260815_190055__0173__n,n,20260815_190055,58.7831,361.04,d
20260815_190055__0174__i,i,20260815_190055,59.1476,364.49,n
20260815_190055__0175__e,e,20260815_190055,59.4608,313.24,i
20260815_190055__0176__l,l,20260815_190055,59.769,308.16,e
20260815_190055__0177__junk,junk,20260815_190055,59.895,,
20260815_190055__0178__t,t,20260815_190055,60.0477,278.71,l
20260815_190055__0179__y,y,20260815_190055,60.3424,294.74,t
20260815_190055__0180__a,a,20260815_190055,60.5899,247.46,y
20260815_190055__0181__w,w,20260815_190055,60.9129,323.04,a
20260815_190055__0182__u,u,20260815_190055,61.2197,306.78,w
20260815_190055__0183__d,d,20260815_190055,61.5809,361.22,u
20260815_190055__0184__c,c,20260815_190055,62.3071,726.19,d
20260815_190055__0185__h,h,20260815_190055,62.5141,207.03,c
20260815_190055__0186__i,i,20260815_190055,62.7704,256.26,h
20260815_190055__0187__r,r,20260815_190055,62.9451,174.65,i
20260815_190055__0188__a,a,20260815_190055,63.2568,311.77,r
20260815_190055__0189__k,k,20260815_190055,63.7022,445.35,a
20260815_190055__0190__o,o,20260815_190055,64.0178,315.6,k
20260815_190055__0191__p,p,20260815_190055,64.2629,245.1,o
20260815_190055__0192__l,l,20260815_190055,64.5308,267.94,p
20260815_190055__0193__o,o,20260815_190055,64.7739,243.11,l
20260815_190055__0194__i,i,20260815_190055,65.1348,360.91,o
20260815_190055__0195__k,k,20260815_190055,65.5198,384.92,i
20260815_190055__0196__u,u,20260815_190055,66.7725,1252.74,k
20260815_190055__0197__r,r,20260815_190055,67.0001,227.62,u
20260815_190055__0198__a,a,20260815_190055,67.2577,257.6,r
20260815_190055__0199__j,j,20260815_190055,67.5641,306.35,a
20260815_190055__0200__a,a,20260815_190055,67.824,259.93,j
20260815_190055__0201__n,n,20260815_190055,68.0821,258.14,a
20260815_190055__0202__d,d,20260815_190055,68.2615,179.34,n
20260815_190055__0203__r,r,20260815_190055,68.5041,242.65,d
20260815_190055__0204__e,e,20260815_190055,69.0161,511.97,r
20260815_190055__0205__w,w,20260815_190055,69.6164,600.34,e
20260815_190055__0206__junk,junk,20260815_190055,70.106,,
20260815_190055__0207__junk,junk,20260815_190055,70.2654,,
20260815_190055__0208__junk,junk,20260815_190055,70.4461,,
20260815_190055__0209__a,a,20260815_190055,70.9945,1378.05,w
20260815_190055__0210__n,n,20260815_190055,71.3048,310.34,a
20260815_190055__0211__d,d,20260815_190055,71.5269,222.04,n
20260815_190055__0212__f,f,20260815_190055,71.837,310.14,d
20260815_190055__0213__r,r,20260815_190055,72.0771,240.07,f
20260815_190055__0214__i,i,20260815_190055,72.3133,236.19,r
20260815_190055__0215__e,e,20260815_190055,72.5194,206.1,i
20260815_190055__0216__n,n,20260815_190055,72.7878,268.48,e
20260815_190055__0217__d,d,20260815_190055,72.9948,206.92,n
20260815_190055__0218__junk,junk,20260815_190055,73.125,,
20260815_190055__0219__s,s,20260815_190055,73.3571,362.29,d
20260815_190055__0220__l,l,20260815_190055,74.2184,861.34,s
20260815_190055__0221__i,i,20260815_190055,74.4612,242.81,l
20260815_190055__0222__k,k,20260815_190055,74.7005,239.32,i
20260815_190055__0223__e,e,20260815_190055,75.0272,326.71,k
20260815_190055__0224__s,s,20260815_190055,75.6093,582.11,e
20260815_190055__0225__k,k,20260815_190055,75.889,279.66,s
20260815_190055__0226__y,y,20260815_190055,76.8855,996.51,k
20260815_190055__0227__junk,junk,20260815_190055,77.3328,,
20260815_190055__0228__t,t,20260815_190055,77.5955,710.02,y
20260815_190055__0229__h,h,20260815_190055,77.7973,201.77,t
20260815_190055__0230__e,e,20260815_190055,78.0869,289.57,h
20260815_190055__0231__l,l,20260815_190055,78.3944,307.55,e
20260815_190055__0232__i,i,20260815_190055,78.6257,231.25,l
20260815_190055__0233__t,t,20260815_190055,78.7572,131.52,i
20260815_190055__0234__e,e,20260815_190055,79.1044,347.19,t
20260815_190055__0235__r,r,20260815_190055,79.3641,259.75,e
20260815_190055__0236__a,a,20260815_190055,79.6849,320.77,r
20260815_190055__0237__c,c,20260815_190055,79.9439,258.98,a
20260815_190055__0238__y,y,20260815_190055,80.1564,212.54,c
20260815_190055__0239__o,o,20260815_190055,80.4198,263.33,y
20260815_190055__0240__junk,junk,20260815_190055,80.546,,
20260815_190055__0241__f,f,20260815_190055,80.8372,417.44,o
20260815_190055__0242__t,t,20260815_190055,81.0929,255.69,f
20260815_190055__0243__h,h,20260815_190055,81.2289,136.01,t
20260815_190055__0244__i,i,20260815_190055,81.4771,248.23,h
20260815_190055__0245__s,s,20260815_190055,81.6691,191.95,i
20260815_190055__0246__p,p,20260815_190055,82.1224,453.33,s
20260815_190055__0247__r,r,20260815_190055,82.3547,232.31,p
20260815_190055__0248__o,o,20260815_190055,82.5275,172.79,r
20260815_190055__0249__g,g,20260815_190055,82.7356,208.12,o
20260815_190055__0250__r,r,20260815_190055,82.9517,216.03,g
20260815_190055__0251__a,a,20260815_190055,83.1832,231.59,r
20260815_190055__0252__m,m,20260815_190055,83.491,307.8,a
20260815_190055__0253__d,d,20260815_190055,83.7392,248.14,m
20260815_190055__0254__e,e,20260815_190055,84.0043,265.12,d
20260815_190055__0255__p,p,20260815_190055,84.258,253.74,e
20260815_190055__0256__e,e,20260815_190055,84.4814,223.36,p
20260815_190055__0257__n,n,20260815_190055,84.6694,188.03,e
20260815_190055__0258__d,d,20260815_190055,84.9735,304.1,n
20260815_190055__0259__s,s,20260815_190055,85.3645,391,d
20260815_190055__0260__o,o,20260815_190055,85.6971,332.56,s
20260815_190055__0261__n,n,20260815_190055,86.0066,309.46,o
20260815_190055__0262__s,s,20260815_190055,86.3341,327.55,n
20260815_190055__0263__u,u,20260815_190055,86.5547,220.59,s
20260815_190055__0264__c,c,20260815_190055,86.7693,214.58,u
20260815_190055__0265__h,h,20260815_190055,86.9962,226.89,c
20260815_190055__0266__a,a,20260815_190055,87.2664,270.23,h
20260815_190055__0267__n,n,20260815_190055,87.5195,253.13,a
20260815_190055__0268__d,d,20260815_190055,87.799,279.5,n
20260815_190055__0269__s,s,20260815_190055,88.1996,400.57,d
20260815_190055__0270__u,u,20260815_190055,88.4824,282.81,s
20260815_190055__0271__c,c,20260815_190055,88.7401,257.73,u
20260815_190055__0272__junk,junk,20260815_190055,88.8775,,
20260815_190055__0273__h,h,20260815_190055,89.1218,381.68,c
20260815_190055__0274__a,a,20260815_190055,90.0324,910.59,h
20260815_190055__0275__n,n,20260815_190055,90.2891,256.73,a
20260815_190055__0276__d,d,20260815_190055,90.4835,194.4,n
20260815_190055__0277__n,n,20260815_190055,90.727,243.47,d
20260815_190055__0278__u,u,20260815_190055,91.0293,302.34,n
20260815_190055__0279__m,m,20260815_190055,91.3098,280.45,u
20260815_190055__0280__b,b,20260815_190055,91.5341,224.35,m
20260815_190055__0281__e,e,20260815_190055,91.782,247.89,b
20260815_190055__0282__r,r,20260815_190055,92.002,219.91,e
20260815_190055__0283__s,s,20260815_190055,92.2497,247.76,r
20260815_190055__0284__l,l,20260815_190055,92.5205,270.77,s
20260815_190055__0285__k,k,20260815_190055,93.0092,488.73,l
20260815_190055__0286__e,e,20260815_190055,93.3366,327.37,k
20260815_190055__0287__3,3,20260815_190055,94.3366,1000.07,e
20260815_190055__0288__junk,junk,20260815_190055,94.8041,,
20260815_190055__0289__6,6,20260815_190055,94.9292,592.52,3
20260815_190055__0290__8,8,20260815_190055,95.78,850.84,6
20260815_190055__0291__junk,junk,20260815_190055,96.2405,,
20260815_190055__0292__a,a,20260815_190055,96.3895,609.46,8
20260815_190055__0293__n,n,20260815_190055,96.6772,287.71,a
20260815_190055__0294__d,d,20260815_190055,96.9689,291.77,n
20260815_190055__0295__a,a,20260815_190055,97.4773,508.41,d
20260815_190055__0296__f,f,20260815_190055,97.8121,334.72,a
20260815_190055__0297__u,u,20260815_190055,98.0971,285.08,f
20260815_190055__0298__n,n,20260815_190055,98.3278,230.7,u
20260815_190055__0299__n,n,20260815_190055,98.5372,209.32,n
20260815_190055__0300__y,y,20260815_190055,98.747,209.82,n
20260815_190055__0301__o,o,20260815_190055,99.1603,413.29,y
20260815_190055__0302__n,n,20260815_190055,99.3851,224.83,o
20260815_190055__0303__e,e,20260815_190055,99.7053,320.23,n
20260815_190055__0304__junk,junk,20260815_190055,100.1047,,
20260815_190055__0305__i,i,20260815_190055,100.2825,577.14,e
20260815_190055__0306__k,k,20260815_190055,100.7138,431.32,i
20260815_190055__0307__e,e,20260815_190055,100.9774,263.63,k
20260815_190055__0308__6,6,20260815_190055,101.4683,490.91,e
20260815_190055__0309__7,7,20260815_190055,101.9071,438.82,6
20260815_190055__0310__junk,junk,20260815_190055,102.0325,,
20260815_190055__0311__junk,junk,20260815_190055,102.1692,,
20260815_190055__0312__junk,junk,20260815_190055,102.8405,,
20260815_190055__0313__junk,junk,20260815_190055,102.9853,,
20260815_190055__0314__b,b,20260815_190055,103.1589,1251.77,7
20260815_190055__0315__c,c,20260815_190055,103.6048,445.9,b
20260815_190055__0316__a,a,20260815_190055,103.8581,253.29,c
20260815_190055__0317__u,u,20260815_190055,104.0837,225.65,a
20260815_190055__0318__s,s,20260815_190055,104.344,260.23,u
20260815_190055__0319__e,e,20260815_190055,104.5865,242.49,s
20260815_190055__0320__junk,junk,20260815_190055,104.9551,,
20260815_190055__0321__f,f,20260815_190055,105.0847,498.23,e
20260815_190055__0322__o,o,20260815_190055,105.3269,242.24,f
20260815_190055__0323__r,r,20260815_190055,105.4529,125.96,o
20260815_190055__0324__junk,junk,20260815_190055,105.6626,,
20260815_190055__0325__s,s,20260815_190055,105.9184,465.51,r
20260815_190055__0326__o,o,20260815_190055,106.2103,291.9,s
20260815_190055__0327__m,m,20260815_190055,106.4099,199.59,o
20260815_190055__0328__e,e,20260815_190055,106.6492,239.25,m
20260815_190055__0329__r,r,20260815_190055,106.9242,275.03,e
20260815_190055__0330__e,e,20260815_190055,107.1775,253.27,r
20260815_190055__0331__a,a,20260815_190055,107.4516,274.15,e
20260815_190055__0332__s,s,20260815_190055,107.7326,281.02,a
20260815_190055__0333__o,o,20260815_190055,108.0122,279.52,s
20260815_190055__0334__n,n,20260815_190055,108.2729,260.77,o
20260815_190055__0335__t,t,20260815_190055,108.5417,268.82,n
20260815_190055__0336__h,h,20260815_190055,108.8289,287.17,t
20260815_190055__0337__a,a,20260815_190055,109.0129,184.04,h
20260815_190055__0338__t,t,20260815_190055,109.2543,241.36,a
20260815_190055__0339__s,s,20260815_190055,109.4943,240.02,t
20260815_190055__0340__w,w,20260815_190055,109.8052,310.86,s
20260815_190055__0341__h,h,20260815_190055,110.0517,246.46,w
20260815_190055__0342__a,a,20260815_190055,110.4505,398.84,h
20260815_190055__0343__t,t,20260815_190055,110.6916,241.11,a
20260815_190055__0344__a,a,20260815_190055,111.0243,332.7,t
20260815_190055__0345__l,l,20260815_190055,111.2955,271.16,a
20260815_190055__0346__l,l,20260815_190055,111.5237,228.28,l
20260815_190055__0347__t,t,20260815_190055,111.7845,260.77,l
20260815_190055__0348__h,h,20260815_190055,112.0156,231.13,t
20260815_190055__0349__e,e,20260815_190055,112.2709,255.22,h
20260815_190055__0350__k,k,20260815_190055,112.5406,269.75,e
20260815_190055__0351__i,i,20260815_190055,112.8133,272.68,k
20260815_190055__0352__d,d,20260815_190055,112.9973,183.99,i
20260815_190055__0353__s,s,20260815_190055,113.2524,255.1,d
20260815_190055__0354__s,s,20260815_190055,113.8231,570.68,s
20260815_190055__0355__a,a,20260815_190055,114.0263,203.24,s
20260815_190055__0356__y,y,20260815_190055,114.2864,260.14,a
20260815_190055__0357__n,n,20260815_190055,114.5713,284.88,y
20260815_190055__0358__o,o,20260815_190055,114.8107,239.41,n
20260815_190055__0359__w,w,20260815_190055,115.1054,294.67,o
20260815_190055__0360__a,a,20260815_190055,115.3602,254.81,w
20260815_190055__0361__d,d,20260815_190055,115.6479,287.69,a
20260815_190055__0362__a,a,20260815_190055,115.905,257.1,d
20260815_190055__0363__junk,junk,20260815_190055,116.0356,,
20260815_190055__0364__y,y,20260815_190055,116.1821,277.14,a
20260815_190055__0365__s,s,20260815_190055,116.4564,274.29,y
20260815_190055__0366__junk,junk,20260815_190055,116.7329,,
20260815_190055__0367__junk,junk,20260815_190055,116.9836,,
20260815_190055__0368__junk,junk,20260815_190055,117.1242,,
20260815_190055__0369__junk,junk,20260815_190055,117.3894,,
20260815_190055__0370__junk,junk,20260815_190055,117.6591,,
20260815_190055__0371__a,a,20260815_190055,117.9267,1470.32,s
20260815_190055__0372__n,n,20260815_190055,118.1583,231.56,a
20260815_190055__0373__d,d,20260815_190055,118.4041,245.76,n
20260815_190055__0374__i,i,20260815_190055,118.7039,299.86,d
20260815_190055__0375__d,d,20260815_190055,119.2238,519.91,i
20260815_190055__0376__o,o,20260815_190055,119.366,142.2,d
20260815_190055__0377__junk,junk,20260815_190055,119.5026,,
20260815_190055__0378__n,n,20260815_190055,119.7012,335.15,o
20260815_190055__0379__t,t,20260815_190055,119.8398,138.66,n
20260815_190055__0380__r,r,20260815_190055,120.1078,267.96,t
20260815_190055__0381__e,e,20260815_190055,120.3463,238.48,r
20260815_190055__0382__a,a,20260815_190055,120.5841,237.85,e
20260815_190055__0383__l,l,20260815_190055,120.8538,269.64,a
20260815_190055__0384__l,l,20260815_190055,121.0122,158.48,l
20260815_190055__0385__y,y,20260815_190055,121.1679,155.62,l
20260815_190055__0386__k,k,20260815_190055,121.416,248.16,y
20260815_190055__0387__n,n,20260815_190055,121.6158,199.77,k
20260815_190055__0388__o,o,20260815_190055,121.8537,237.85,n
20260815_190055__0389__w,w,20260815_190055,122.3025,448.87,o
20260815_190055__0390__w,w,20260815_190055,122.6933,390.82,w
20260815_190055__0391__h,h,20260815_190055,122.9605,267.19,w
20260815_190055__0392__a,a,20260815_190055,123.1931,232.54,h
20260815_190055__0393__t,t,20260815_190055,123.4151,222,a
20260815_190055__0394__junk,junk,20260815_190055,123.7692,,
20260815_190055__0395__i,i,20260815_190055,124.0952,680.16,t
20260815_190055__0396__t,t,20260815_190055,124.373,277.76,i
20260815_190055__0397__junk,junk,20260815_190055,124.5124,,
20260815_190055__0398__m,m,20260815_190055,124.7289,355.94,t
20260815_190055__0399__e,e,20260815_190055,124.9053,176.35,m
20260815_190055__0400__junk,junk,20260815_190055,125.1101,,
20260815_190055__0401__n,n,20260815_190055,125.369,463.76,e
20260815_190055__0402__a,a,20260815_190055,125.6406,271.56,n
20260815_190055__0403__junk,junk,20260815_190055,125.7752,,
20260815_190055__0404__junk,junk,20260815_190055,126.4459,,
20260815_190055__0405__junk,junk,20260815_190055,127.1494,,
20260815_190055__0406__s,s,20260815_190055,127.5393,1898.71,a
20260815_190055__0407__b,b,20260815_190055,127.9941,454.78,s
20260815_190055__0408__u,u,20260815_190055,128.2569,262.81,b
20260815_190055__0409__b,b,20260815_190055,129.0431,786.21,u
20260815_190055__0410__c,c,20260815_190055,129.4813,438.21,b
20260815_190055__0411__a,a,20260815_190055,129.673,191.72,c
20260815_190055__0412__u,u,20260815_190055,129.8846,211.61,a
20260815_190055__0413__s,s,20260815_190055,130.0624,177.76,u
20260815_190055__0414__e,e,20260815_190055,130.2969,234.51,s
20260815_190055__0415__i,i,20260815_190055,130.6085,311.59,e
20260815_190055__0416__d,d,20260815_190055,130.8246,216.1,i
20260815_190055__0417__o,o,20260815_190055,131.066,241.36,d
20260815_190055__0418__n,n,20260815_190055,131.2643,198.32,o
20260815_190055__0419__t,t,20260815_190055,131.5832,318.87,n
20260815_190055__0420__junk,junk,20260815_190055,131.7195,,
20260815_190055__0421__t,t,20260815_190055,132.273,689.86,t
20260815_190055__0422__h,h,20260815_190055,132.4017,128.73,t
20260815_190055__0423__junk,junk,20260815_190055,132.5341,,
20260815_190055__0424__e,e,20260815_190055,132.6799,278.12,h
20260815_190055__0425__n,n,20260815_190055,132.8515,171.61,e
20260815_190055__0426__p,p,20260815_190055,133.5523,700.84,n
20260815_190055__0427__i,i,20260815_190055,133.79,237.64,p
20260815_190055__0428__k,k,20260815_190055,133.9857,195.78,i
20260815_190055__0429__a,a,20260815_190055,134.2294,243.65,k
20260815_190055__0430__c,c,20260815_190055,134.4387,209.3,a
20260815_190055__0431__h,h,20260815_190055,134.6927,254.06,c
20260815_190055__0432__u,u,20260815_190055,134.9516,258.82,h
20260815_190055__0433__junk,junk,20260815_190055,135.1336,,
20260815_190055__0434__u,u,20260815_190055,135.3795,427.98,u
20260815_190055__0435__s,s,20260815_190055,135.596,216.42,u
20260815_190055__0436__e,e,20260815_190055,135.8383,242.29,s
20260815_190055__0437__s,s,20260815_190055,136.0423,204.08,e
20260815_190055__0438__t,t,20260815_190055,136.3253,282.95,s
20260815_190055__0439__h,h,20260815_190055,136.4556,130.34,t
